Instance,Total Solution Cost,total time,STATUS,customers
Antwerp1,496548.91,2.94,VALID,6000
Antwerp2,317236.95,4.33,VALID,7000
Brussels1,530603.74,6.06,VALID,15000
Brussels2,378311.19,10.33,VALID,16000
CMT4,1095.38,2.11,VALID,150
CMT5,1423.17,2.11,VALID,199
E-n101-k14,1143.45,2.1,VALID,100
E-n101-k8,877.93,2.1,VALID,100
E-n76-k8,794.74,2.1,VALID,75
F-n135-k7,1230.06,2.1,VALID,134
Flanders1,7504252.55,16.32,VALID,20000
Flanders2,4746630.73,43.65,VALID,30000
Ghent1,489103.04,5.08,VALID,10000
Ghent2,283063.63,6.68,VALID,11000
Golden_10,816.26,2.11,VALID,323
Golden_11,1021.55,2.12,VALID,399
Golden_12,1217.13,2.12,VALID,483
Golden_13,947.93,2.1,VALID,252
Golden_14,1181.35,2.11,VALID,320
Golden_15,1446.89,2.11,VALID,396
Golden_16,1769.43,2.11,VALID,480
Golden_17,756.31,2.1,VALID,240
Golden_18,1075.44,2.11,VALID,300
Golden_19,1464.4,2.1,VALID,360
Golden_20,1948.5,2.11,VALID,420
Golden_9,638.9,2.1,VALID,255
Leuven1,200506.41,2.58,VALID,3000
Leuven2,124432.56,3.17,VALID,4000
P-n101-k4,771.95,2.1,VALID,100
X-n1001-k43,77504.23,2.19,VALID,1000
X-n101-k25,29023.84,2.1,VALID,100
X-n106-k14,27872.21,2.11,VALID,105
X-n110-k13,15928.9,2.1,VALID,109
X-n115-k10,13651.02,2.1,VALID,114
X-n120-k6,14880.39,2.11,VALID,119
X-n125-k30,58275.3,2.11,VALID,124
X-n129-k18,29962.41,2.11,VALID,128
X-n134-k13,11651.37,2.1,VALID,133
X-n139-k10,14672.49,2.11,VALID,138
X-n143-k7,17717.1,2.11,VALID,142
X-n148-k46,45150.1,2.1,VALID,147
X-n153-k22,22642.31,2.1,VALID,152
X-n157-k13,18022.58,2.1,VALID,156
X-n162-k11,15025.22,2.12,VALID,161
X-n167-k10,22015.01,2.11,VALID,166
X-n172-k51,48289.52,2.1,VALID,171
X-n176-k26,52552.42,2.11,VALID,175
X-n181-k23,26417.16,2.1,VALID,180
X-n186-k15,25611.43,2.11,VALID,185
X-n190-k8,17980.29,2.11,VALID,189
X-n195-k51,45725.84,2.1,VALID,194
X-n200-k36,61208.11,2.11,VALID,199
X-n204-k19,21339.34,2.11,VALID,203
X-n209-k16,32959.92,2.11,VALID,208
X-n214-k11,11871.22,2.11,VALID,213
X-n219-k73,118368.8,2.1,VALID,218
X-n223-k34,42357.7,2.11,VALID,222
X-n228-k23,27460.37,2.11,VALID,227
X-n233-k16,20817.68,2.11,VALID,232
X-n237-k14,29383.27,2.11,VALID,236
X-n242-k48,85490.42,2.11,VALID,241
X-n247-k50,40739.43,2.11,VALID,246
X-n251-k28,41120.64,2.11,VALID,250
X-n256-k16,20952.33,2.11,VALID,255
X-n261-k13,28915.37,2.12,VALID,260
X-n266-k58,78995.47,2.1,VALID,265
X-n270-k35,37252.95,2.1,VALID,269
X-n275-k28,22587.64,2.11,VALID,274
X-n280-k17,35422.26,2.11,VALID,279
X-n284-k15,22052.08,2.12,VALID,283
X-n289-k60,98423.19,2.1,VALID,288
X-n294-k50,48533.57,2.11,VALID,293
X-n298-k31,36221.06,2.1,VALID,297
X-n303-k21,23666.16,2.11,VALID,302
X-n308-k13,28337,2.11,VALID,307
X-n313-k71,97694.96,2.11,VALID,312
X-n317-k53,79695.45,2.11,VALID,316
X-n322-k28,31760.86,2.1,VALID,321
X-n327-k20,30207.71,2.11,VALID,326
X-n331-k15,33197.18,2.11,VALID,330
X-n336-k84,144743.61,2.11,VALID,335
X-n344-k43,44354.51,2.11,VALID,343
X-n351-k40,27276.9,2.11,VALID,350
X-n359-k29,53580.59,2.1,VALID,358
X-n367-k17,25228.44,2.11,VALID,366
X-n376-k94,149336.15,2.12,VALID,375
X-n384-k52,68597.38,2.12,VALID,383
X-n393-k38,40438.9,2.12,VALID,392
X-n401-k29,68324.1,2.12,VALID,400
X-n411-k19,22326.03,2.11,VALID,410
X-n420-k130,113531.87,2.1,VALID,419
X-n429-k61,68405.69,2.1,VALID,428
X-n439-k37,38691.98,2.11,VALID,438
X-n449-k29,57974.94,2.11,VALID,448
X-n459-k26,26479.17,2.12,VALID,458
X-n469-k138,235493.22,2.12,VALID,468
X-n480-k70,92949.87,2.12,VALID,479
X-n491-k59,69228.64,2.12,VALID,490
X-n502-k39,71372.84,2.11,VALID,501
X-n513-k21,26943.1,2.12,VALID,512
X-n524-k153,164485.06,2.1,VALID,523
X-n536-k96,99901.42,2.11,VALID,535
X-n548-k50,89551.6,2.12,VALID,547
X-n561-k42,45468.61,2.12,VALID,560
X-n573-k30,52335.91,2.13,VALID,572
X-n586-k159,199702.41,2.12,VALID,585
X-n599-k92,112914.79,2.13,VALID,597
X-n613-k62,62797.9,2.12,VALID,612
X-n627-k43,65710.37,2.15,VALID,626
X-n641-k35,67276.56,2.13,VALID,640
X-n655-k131,108219.6,2.12,VALID,654
X-n670-k130,158927.75,2.13,VALID,669
X-n685-k75,71550.89,2.12,VALID,684
X-n701-k44,85316.98,2.16,VALID,700
X-n716-k35,45398.57,2.15,VALID,715
X-n733-k159,139405.61,2.12,VALID,732
X-n749-k98,79546.01,2.12,VALID,748
X-n766-k71,119343.83,2.15,VALID,765
X-n783-k48,77079.84,2.15,VALID,782
X-n801-k40,76721.76,2.17,VALID,800
X-n819-k171,167051.92,2.12,VALID,818
X-n837-k142,201121.21,2.14,VALID,836
X-n856-k95,92476.76,2.13,VALID,855
X-n876-k59,102713.25,2.16,VALID,875
X-n895-k37,58532.11,2.16,VALID,894
X-n916-k207,344532.42,2.14,VALID,915
X-n936-k151,146265.83,2.13,VALID,935
X-n957-k87,89140.28,2.18,VALID,956
X-n979-k58,124059.42,2.2,VALID,978
random_1000000_customers,1465092.12,14438.35,VALID,1000000
random_100000_customers,159638.27,68.97,VALID,100000
random_500000_customers,745478.13,2887.67,VALID,500000
random_50000_customers,83672.59,25.43,VALID,50000
custom_1M.vrp,94279528.51,14412.61,VALID,1000000
custom_1_lakh.vrp,9540816.06,51.81,VALID,100000
custom_5_lakh.vrp,47243747.2,2220.37,VALID,500000
custom_50k.vrp,4795982.35,18.96,VALID,50000
tai385,25722.36,2.11,VALID,385
,1304800.13,,,
