File Name,My C&W Cost,OG C&W Cost,Status,Column 1,Rajesh's Cost,customers
Antwerp1.vrp,496548.91,499147.23,VALID,-0.52%,518042,6000
Antwerp2.vrp,317236.95,322902.77,VALID,-1.75%,330341,7000
Brussels1.vrp,530603.74,532430.29,VALID,-0.34%,551842,15000
Brussels2.vrp,378311.19,386048.28,VALID,-2.00%,393052,16000
CMT4.vrp,1095.38,1140.42,VALID,-3.95%,1196,150
CMT5.vrp,1423.17,1395.74,VALID,1.97%,1450,199
E-n101-k14.vrp,1143.45,1139.07,VALID,0.38%,1231,100
E-n101-k8.vrp,877.93,889,VALID,-1.25%,938,100
E-n76-k8.vrp,794.74,794.74,VALID,0.00%,803,75
F-n135-k7.vrp,1230.06,1219.32,VALID,0.88%,1266,134
Flanders1.vrp,7504252.55,7525543.77,VALID,-0.28%,7.71E+06,20000
Flanders2.vrp,4746630.73,4805614.31,VALID,-1.23%,4.89E+06,30000
Ghent1.vrp,489103.04,490783.46,VALID,-0.34%,509294,10000
Ghent2.vrp,283063.63,287180.91,VALID,-1.43%,293836,11000
Golden_10.vrp,816.26,838.92,VALID,-2.70%,826,323
Golden_11.vrp,1021.55,1052.12,VALID,-2.91%,1034,399
Golden_12.vrp,1217.13,1270.98,VALID,-4.24%,1257,483
Golden_13.vrp,947.93,952.74,VALID,-0.50%,1058,252
Golden_14.vrp,1181.35,1221.69,VALID,-3.30%,1370,320
Golden_15.vrp,1446.89,1512.66,VALID,-4.35%,1753,396
Golden_16.vrp,1769.43,1774.68,VALID,-0.30%,2068,480
Golden_17.vrp,756.31,765.65,VALID,-1.22%,789,240
Golden_18.vrp,1075.44,1067.77,VALID,0.72%,1135,300
Golden_19.vrp,1464.4,1461.23,VALID,0.22%,1592,360
Golden_20.vrp,1948.5,1964.38,VALID,-0.81%,2114,420
Golden_9.vrp,638.9,663.57,VALID,-3.72%,653,255
Leuven1.vrp,200506.41,200971.28,VALID,-0.23%,209298,3000
Leuven2.vrp,124432.56,125267.25,VALID,-0.67%,127235,4000
P-n101-k4.vrp,771.95,765.38,VALID,0.86%,772,100
