Instance,Pre-refine Cost,Pre-Processed Cost,Time for MST,Time for Middle part,Time for Preprocessing,total time,Time for shuffle,Time for ShortCircutTour,Time for Split_convertToVrpRoutes,Time for calCost,STATUS
Antwerp1,552192,519895,0.03,202.94,0.04,203.02,76.64,67.89,25.51,30.12,VALID
Antwerp2,370810,333245,0.04,221.95,0.2,222.19,89,78.76,22.12,30.83,VALID
Brussels1,622238,566195,0.08,513.99,0.19,514.26,191.58,178.75,66.89,71.39,VALID
Brussels2,474235,407742,0.08,527.66,0.74,528.49,203.55,192.72,58.71,70.57,VALID
CMT4,1361,1173,0,5.74,0,5.75,1.96,1.91,0.89,0.83,VALID
CMT5,1765,1604,0,7.54,0,7.55,2.58,2.44,1.22,1.12,VALID
E-n101-k14,1276,1201,0,4.27,0,4.27,1.31,1.34,0.79,0.65,VALID
E-n101-k8,1017,930,0,3.93,0,3.94,1.31,1.33,0.63,0.54,VALID
E-n76-k8,848,816,0,3.22,0,3.23,0.98,1.07,0.6,0.45,VALID
F-n135-k7,1411,1230,0,5.98,0,5.98,2.05,2.07,0.88,0.85,VALID
Flanders1,8125076,7739667,0.11,730.83,0.27,731.22,269.55,263.27,91.98,98.47,VALID
Flanders2,5469828,4974380,0.18,1156.23,2.35,1158.76,434.57,444.27,126.04,148.05,VALID
Ghent1,556280,521060,0.06,388.38,0.1,388.54,145.53,131.86,48.77,56.67,VALID
Ghent2,346465,300256,0.07,404.66,0.7,405.42,160.02,144.99,43.01,55.13,VALID
Golden_10,922,794,0,12.91,0,12.91,4.83,4.41,1.63,1.83,VALID
Golden_11,1136,944,0,15.34,0,15.35,5.75,5.23,1.99,2.15,VALID
Golden_12,1399,1174,0,19.11,0.01,19.12,7.28,6.53,2.35,2.7,VALID
Golden_13,1125,1017,0,11.12,0,11.12,3.81,3.53,1.74,1.71,VALID
Golden_14,1435,1317,0,13.61,0,13.61,4.74,4.38,2.01,2.14,VALID
Golden_15,1809,1607,0,16.88,0,16.88,5.86,5.43,2.6,2.6,VALID
Golden_16,2196,1999,0,20.31,0,20.31,7.22,6.56,2.97,3.12,VALID
Golden_17,874,778,0,10.24,0,10.24,3.48,3.31,1.62,1.54,VALID
Golden_18,1287,1140,0,12.17,0,12.18,4.15,3.99,1.82,1.9,VALID
Golden_19,1752,1547,0,15.56,0,15.56,5.25,4.98,2.54,2.4,VALID
Golden_20,2375,2109,0,17.85,0,17.85,6.11,5.74,2.79,2.77,VALID
Golden_9,703,608,0,10.33,0,10.33,3.8,3.5,1.37,1.48,VALID
