input_file,status,runtime_seconds,Pre_Refine_cost,Refine_cost,Time for MST,Time for Middle part,Time for refinement,Route Validation
Antwerp1.vrp,SUCCESS,7.561,548740,518042,3.01861,4.33827,0.0543742,VALID
Antwerp2.vrp,SUCCESS,10.569,364543,330341,4.69558,5.09805,0.570664,VALID
Brussels1.vrp,SUCCESS,36.121,593031,551842,19.3643,15.8647,0.34137,VALID
Brussels2.vrp,SUCCESS,45.227,437893,393052,24.6993,17.0077,2.88748,VALID
CMT4.vrp,SUCCESS,0.095,1349,1196,0.00204363,0.080432,0.000904415,VALID
CMT5.vrp,SUCCESS,0.112,1613,1450,0.00295923,0.1005,0.000756794,VALID
E-n101-k14.vrp,SUCCESS,0.073,1293,1231,0.00104689,0.0628624,0.00019123,VALID
E-n101-k8.vrp,SUCCESS,0.066,1052,938,0.000976674,0.0559267,0.000465221,VALID
E-n76-k8.vrp,SUCCESS,0.053,874,803,0.000672671,0.0443403,0.000186008,VALID
F-n135-k7.vrp,SUCCESS,0.08,1349,1266,0.00199841,0.0687591,0.00195211,VALID
Flanders1.vrp,SUCCESS,66.166,8.07E+06,7.71E+06,38.1559,26.4105,0.481977,VALID
Flanders2.vrp,SUCCESS,152.913,5.33E+06,4.89E+06,94.3458,46.3247,10.221,VALID
Ghent1.vrp,SUCCESS,21.39,535712,509294,10.0295,10.8268,0.202492,VALID
Ghent2.vrp,SUCCESS,27.288,323929,293836,14.3684,10.0296,2.51832,VALID
Golden_10.vrp,SUCCESS,0.177,1018,826,0.00916856,0.151261,0.00553244,VALID
Golden_11.vrp,SUCCESS,0.215,1277,1034,0.0130989,0.185899,0.00612753,VALID
Golden_12.vrp,SUCCESS,0.273,1579,1257,0.0195789,0.230755,0.0130852,VALID
Golden_13.vrp,SUCCESS,0.139,1216,1058,0.0038397,0.123976,0.000804876,VALID
Golden_14.vrp,SUCCESS,0.186,1573,1370,0.00697484,0.169619,0.00122252,VALID
Golden_15.vrp,SUCCESS,0.231,2024,1753,0.0102154,0.20948,0.0017786,VALID
Golden_16.vrp,SUCCESS,0.28,2505,2068,0.0157101,0.250752,0.00320915,VALID
Golden_17.vrp,SUCCESS,0.139,895,789,0.0043666,0.123535,0.000904929,VALID
Golden_18.vrp,SUCCESS,0.194,1290,1135,0.00670866,0.177608,0.00140295,VALID
Golden_19.vrp,SUCCESS,0.22,1771,1592,0.00881883,0.201248,0.00111837,VALID
Golden_20.vrp,SUCCESS,0.259,2402,2114,0.0126742,0.234402,0.00169214,VALID
Golden_9.vrp,SUCCESS,0.131,809,653,0.00553432,0.114509,0.00282799,VALID
Leuven1.vrp,SUCCESS,2.906,221404,209298,0.842346,2.00467,0.021472,VALID
Leuven2.vrp,SUCCESS,5.109,143719,127235,1.82415,2.49896,0.736019,VALID
P-n101-k4.vrp,SUCCESS,0.061,903,772,0.00102555,0.0503058,0.00123007,VALID
X-n1001-k43.vrp,SUCCESS,0.683,87492,80748,0.0956288,0.560132,0.0139358,VALID
X-n101-k25.vrp,SUCCESS,0.074,30909,30068,0.00100433,0.0658885,8.46E-05,VALID
X-n106-k14.vrp,SUCCESS,0.07,28071,27518,0.00139833,0.0585878,0.000223209,VALID
X-n110-k13.vrp,SUCCESS,0.069,17602,16360,0.00104787,0.0576926,0.00029894,VALID
X-n115-k10.vrp,SUCCESS,0.075,17166,14909,0.00113861,0.0644003,0.000757591,VALID
X-n120-k6.vrp,SUCCESS,0.068,16660,15143,0.00190707,0.058123,0.00110292,VALID
X-n125-k30.vrp,SUCCESS,0.102,61735,61271,0.00166581,0.0923539,0.000209227,VALID
X-n129-k18.vrp,SUCCESS,0.088,32684,31021,0.00262163,0.0758278,0.000279618,VALID
X-n134-k13.vrp,SUCCESS,0.083,12685,11880,0.00218273,0.0727024,0.000720691,VALID
X-n139-k10.vrp,SUCCESS,0.082,16878,14670,0.0017839,0.0717702,0.00073262,VALID
X-n143-k7.vrp,SUCCESS,0.083,19588,17604,0.00251711,0.0708692,0.0017602,VALID
X-n148-k46.vrp,SUCCESS,0.123,49546,49235,0.00221242,0.11353,9.89E-05,VALID
X-n153-k22.vrp,SUCCESS,0.1,27191,25859,0.00236828,0.0895801,0.000433051,VALID
X-n157-k13.vrp,SUCCESS,0.095,19004,17931,0.00271664,0.0820985,0.000558216,VALID
X-n162-k11.vrp,SUCCESS,0.093,18133,16498,0.00217925,0.0823323,0.000828963,VALID
X-n167-k10.vrp,SUCCESS,0.102,24470,22747,0.00291078,0.0885081,0.00129452,VALID
X-n172-k51.vrp,SUCCESS,0.147,51374,51099,0.00238692,0.135385,0.000207473,VALID
X-n176-k26.vrp,SUCCESS,0.127,59672,58257,0.00363973,0.115158,0.000478692,VALID
X-n181-k23.vrp,SUCCESS,0.106,27922,26820,0.00307145,0.0942918,0.000338613,VALID
X-n186-k15.vrp,SUCCESS,0.115,28767,26760,0.00314821,0.0932585,0.00084713,VALID
X-n190-k8.vrp,SUCCESS,0.113,19573,18305,0.00486048,0.0966564,0.00325881,VALID
X-n195-k51.vrp,SUCCESS,0.155,51032,50172,0.00355259,0.142235,0.000148323,VALID
X-n200-k36.vrp,SUCCESS,0.133,64282,63221,0.00349422,0.12093,0.000213039,VALID
X-n204-k19.vrp,SUCCESS,0.124,23869,22395,0.00349698,0.111252,0.000650859,VALID
X-n209-k16.vrp,SUCCESS,0.121,35926,33484,0.00431652,0.107352,0.000951072,VALID
X-n214-k11.vrp,SUCCESS,0.125,14016,12848,0.00441536,0.10845,0.0020287,VALID
X-n219-k73.vrp,SUCCESS,0.163,119725,119399,0.00464951,0.150297,0.000124738,VALID
X-n223-k34.vrp,SUCCESS,0.164,45996,44427,0.00452677,0.149933,0.000369149,VALID
X-n228-k23.vrp,SUCCESS,0.148,32617,30952,0.00492557,0.132922,0.000893636,VALID
X-n233-k16.vrp,SUCCESS,0.135,24387,22379,0.0041855,0.120559,0.00219193,VALID
X-n237-k14.vrp,SUCCESS,0.13,32494,30141,0.00507824,0.114784,0.00197219,VALID
X-n242-k48.vrp,SUCCESS,0.178,93449,92214,0.00639284,0.161854,0.000237822,VALID
X-n247-k50.vrp,SUCCESS,0.224,47727,46737,0.00522239,0.205392,0.000325048,VALID
X-n251-k28.vrp,SUCCESS,0.178,44375,42578,0.00523637,0.164076,0.000705139,VALID
X-n256-k16.vrp,SUCCESS,0.15,23091,20923,0.00518912,0.13503,0.00177615,VALID
X-n261-k13.vrp,SUCCESS,0.165,32730,30148,0.00710948,0.146553,0.00273032,VALID
X-n266-k58.vrp,SUCCESS,0.206,84044,83156,0.00825608,0.188843,0.000201407,VALID
X-n270-k35.vrp,SUCCESS,0.181,40797,39114,0.00619276,0.165419,0.000441841,VALID
X-n275-k28.vrp,SUCCESS,0.161,24740,23203,0.00676474,0.145056,0.000699284,VALID
X-n280-k17.vrp,SUCCESS,0.178,42104,38500,0.00861519,0.157192,0.0030031,VALID
X-n284-k15.vrp,SUCCESS,0.175,24871,22553,0.00905173,0.152255,0.00421591,VALID
X-n289-k60.vrp,SUCCESS,0.228,107015,105110,0.00914906,0.208411,0.000443981,VALID
X-n294-k50.vrp,SUCCESS,0.223,55377,53606,0.00725074,0.199874,0.000361976,VALID
X-n298-k31.vrp,SUCCESS,0.199,40746,38529,0.00762983,0.18107,0.000748691,VALID
X-n303-k21.vrp,SUCCESS,0.192,26873,24308,0.00863613,0.173365,0.00182797,VALID
X-n308-k13.vrp,SUCCESS,0.187,34199,31009,0.0108694,0.158991,0.00881102,VALID
X-n313-k71.vrp,SUCCESS,0.244,107071,105342,0.00923285,0.223927,0.000436608,VALID
X-n317-k53.vrp,SUCCESS,0.204,81196,80327,0.0107949,0.183946,0.000335462,VALID
X-n322-k28.vrp,SUCCESS,0.21,36105,33687,0.00787056,0.19208,0.00141709,VALID
X-n327-k20.vrp,SUCCESS,0.205,33637,30871,0.0109251,0.175711,0.00253918,VALID
X-n331-k15.vrp,SUCCESS,0.202,38811,34983,0.011123,0.177225,0.00380368,VALID
X-n336-k84.vrp,SUCCESS,0.284,157116,155181,0.0112659,0.262911,0.000419491,VALID
X-n344-k43.vrp,SUCCESS,0.233,49227,46935,0.00935287,0.213334,0.000630408,VALID
X-n351-k40.vrp,SUCCESS,0.238,30938,29557,0.0100451,0.216431,0.00109557,VALID
