input_file,status,runtime_seconds,Pre_Refine_cost,Refine_cost,Time for MST,Time for Middle part,Time for refinement,Time for Preprocessing,total time,Route Validation
Antwerp1.vrp,SUCCESS,7.64987,547237,519594,0.00999859,7.62644,,0.0134281,7.64987,VALID
Antwerp2.vrp,SUCCESS,8.27983,367328,335166,0.0110689,8.18255,,0.0862107,8.27983,VALID
Brussels1.vrp,SUCCESS,19.6479,615620,563495,0.0336256,19.5436,,0.0707011,19.6479,VALID
Brussels2.vrp,SUCCESS,21.1082,468919,408667,0.026901,20.8351,,0.246157,21.1082,VALID
CMT4.vrp,SUCCESS,0.172529,1341,1213,0.000192533,0.172093,,0.00024398,0.172529,VALID
CMT5.vrp,SUCCESS,0.23467,1761,1618,0.000264482,0.234074,,0.000330617,0.23467,VALID
E-n76-k8.vrp,SUCCESS,0.0892706,865,817,0.000100377,0.0890298,,0.000140351,0.0892706,VALID
E-n101-k8.vrp,SUCCESS,0.121996,1020,921,0.000201511,0.121617,,0.000176684,0.121996,VALID
E-n101-k14.vrp,SUCCESS,0.121833,1299,1222,0.000136166,0.121547,,0.000149699,0.121833,VALID
Flanders1.vrp,SUCCESS,26.4319,8.08E+06,7.73E+06,0.0451294,26.3094,,0.0773883,26.4319,VALID
Flanders2.vrp,SUCCESS,41.1299,5.44E+06,4.95E+06,0.0544962,40.4258,,0.64965,41.1299,VALID
F-n135-k7.vrp,SUCCESS,0.14536,1402,1267,0.000180759,0.144796,,0.000382923,0.14536,VALID
Ghent1.vrp,SUCCESS,12.9506,553671,522104,0.0162367,12.8917,,0.0427098,12.9506,VALID
Ghent2.vrp,SUCCESS,14.2832,344497,301823,0.0258435,14.061,,0.196334,14.2832,VALID
Golden_9.vrp,SUCCESS,0.288106,712,619,0.0002762,0.287003,,0.000826187,0.288106,VALID
Golden_10.vrp,SUCCESS,0.373691,907,792,0.000539025,0.372141,,0.00101046,0.373691,VALID
Golden_11.vrp,SUCCESS,0.450725,1127,946,0.000452603,0.448981,,0.00129096,0.450725,VALID
Golden_12.vrp,SUCCESS,0.556026,1375,1196,0.000567887,0.553486,,0.00197122,0.556026,VALID
